Ncases,Ncontrols,AF,Risk,Power_Log,Power_Score,Power_Prop,Power_Chi,Disease_frequency
4000,6000,0.5,4,1,1,1,1,1.00E-04
4000,6000,0.5,5,1,1,1,1,1.00E-04
3000,7000,0.01,0.125,0.7943,0.7534,0.7516,0.7767,1.00E-04
3000,7000,0.01,0.25,0.6509,0.6004,0.5994,0.6295,1.00E-04
3000,7000,0.01,0.375,0.4878,0.4318,0.4317,0.4633,1.00E-04
3000,7000,0.01,0.5,0.3253,0.2757,0.2763,0.3058,1.00E-04
3000,7000,0.01,0.625,0.2056,0.1739,0.1741,0.1902,1.00E-04
3000,7000,0.01,0.75,0.1174,0.0983,0.0985,0.1143,1.00E-04
3000,7000,0.01,0.875,0.0643,0.0558,0.0557,0.061,1.00E-04
3000,7000,0.01,1,0.047,0.0494,0.0491,0.043,1.00E-04
3000,7000,0.01,1.125,0.0589,0.0701,0.0707,0.0525,1.00E-04
3000,7000,0.01,1.25,0.0945,0.1162,0.1163,0.0819,1.00E-04
3000,7000,0.01,1.375,0.154,0.1827,0.1835,0.1276,1.00E-04
3000,7000,0.01,1.5,0.2467,0.2832,0.284,0.2008,1.00E-04
3000,7000,0.01,1.75,0.4637,0.5095,0.5086,0.3817,1.00E-04
3000,7000,0.01,2,0.6852,0.7258,0.7248,0.5961,1.00E-04
3000,7000,0.01,3,0.9961,0.9973,0.9973,0.9882,1.00E-04
3000,7000,0.01,4,1,1,1,1,1.00E-04
3000,7000,0.01,5,1,1,1,1,1.00E-04
3000,7000,0.05,0.125,1,1,1,1,1.00E-04
3000,7000,0.05,0.25,0.9995,0.9994,0.9995,0.9988,1.00E-04
3000,7000,0.05,0.375,0.9892,0.9877,0.9878,0.9764,1.00E-04
3000,7000,0.05,0.5,0.909,0.9003,0.9004,0.8562,1.00E-04
3000,7000,0.05,0.625,0.6751,0.6564,0.657,0.5807,1.00E-04
3000,7000,0.05,0.75,0.3511,0.3361,0.3361,0.2824,1.00E-04
3000,7000,0.05,0.875,0.1249,0.116,0.1159,0.107,1.00E-04
3000,7000,0.05,1,0.0512,0.0511,0.0513,0.052,1.00E-04
3000,7000,0.05,1.125,0.1077,0.1176,0.1178,0.0846,1.00E-04
3000,7000,0.05,1.25,0.2954,0.3122,0.3114,0.2217,1.00E-04
3000,7000,0.05,1.375,0.564,0.5828,0.5832,0.4522,1.00E-04
3000,7000,0.05,1.5,0.805,0.8201,0.8195,0.7006,1.00E-04
3000,7000,0.05,1.75,0.9824,0.9842,0.9843,0.9617,1.00E-04
3000,7000,0.05,2,0.9999,0.9999,0.9999,0.9982,1.00E-04
3000,7000,0.05,3,1,1,1,1,1.00E-04
3000,7000,0.05,4,1,1,1,1,1.00E-04
3000,7000,0.05,5,1,1,1,1,1.00E-04
