"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"202",3000,7000,0.05,3,1,1,1,1,1e-04
"203",3000,7000,0.05,4,1,1,1,1,1e-04
"204",3000,7000,0.05,5,1,1,1,1,1e-04
"205",3000,7000,0.1,0.125,1,1,1,1,1e-04
"206",3000,7000,0.1,0.25,1,1,1,1,1e-04
"207",3000,7000,0.1,0.375,1,1,1,1,1e-04
"208",3000,7000,0.1,0.5,1,1,1,1,1e-04
"209",3000,7000,0.1,0.625,0,0,0,0,1e-04
"210",3000,7000,0.1,0.75,0,0,0,0,1e-04
"211",3000,7000,0.1,0.875,0,0,0,0,1e-04
"212",3000,7000,0.1,1,0,0,0,0,1e-04
"213",3000,7000,0.1,1.125,0,0,0,0,1e-04
"214",3000,7000,0.1,1.25,0,0,0,0,1e-04
"215",3000,7000,0.1,1.375,0,0,0,0,1e-04
"216",3000,7000,0.1,1.5,1,1,1,1,1e-04
"217",3000,7000,0.1,1.75,1,1,1,1,1e-04
"218",3000,7000,0.1,2,1,1,1,1,1e-04
"219",3000,7000,0.1,3,1,1,1,1,1e-04
"220",3000,7000,0.1,4,1,1,1,1,1e-04
"221",3000,7000,0.1,5,1,1,1,1,1e-04
"222",3000,7000,0.2,0.125,1,1,1,1,1e-04
"223",3000,7000,0.2,0.25,1,1,1,1,1e-04
"224",3000,7000,0.2,0.375,1,1,1,1,1e-04
"225",3000,7000,0.2,0.5,1,1,1,1,1e-04
"226",3000,7000,0.2,0.625,1,1,1,1,1e-04
"227",3000,7000,0.2,0.75,0,0,0,0,1e-04
"228",3000,7000,0.2,0.875,0,0,0,0,1e-04
"229",3000,7000,0.2,1,0,0,0,0,1e-04
"230",3000,7000,0.2,1.125,0,0,0,0,1e-04
"231",3000,7000,0.2,1.25,1,1,1,0,1e-04
"232",3000,7000,0.2,1.375,1,1,1,1,1e-04
"233",3000,7000,0.2,1.5,1,1,1,1,1e-04
"234",3000,7000,0.2,1.75,1,1,1,1,1e-04
"235",3000,7000,0.2,2,1,1,1,1,1e-04
"236",3000,7000,0.2,3,1,1,1,1,1e-04
"237",3000,7000,0.2,4,1,1,1,1,1e-04
"238",3000,7000,0.2,5,1,1,1,1,1e-04
"239",3000,7000,0.5,0.125,1,1,1,1,1e-04
"240",3000,7000,0.5,0.25,1,1,1,1,1e-04
"241",3000,7000,0.5,0.375,1,1,1,1,1e-04
"242",3000,7000,0.5,0.5,1,1,1,1,1e-04
"243",3000,7000,0.5,0.625,1,1,1,1,1e-04
"244",3000,7000,0.5,0.75,1,1,1,1,1e-04
"245",3000,7000,0.5,0.875,0,0,0,0,1e-04
